frame,time_seconds,x,y
0,0.0,577,415
1,0.033320177012319104,579,414
2,0.06664035402463821,580,413
3,0.0999605310369573,582,412
4,0.13328070804927641,584,412
5,0.1666008850615955,586,412
6,0.1999210620739146,588,412
7,0.2332412390862337,589,412
8,0.26656141609855283,592,412
9,0.2998815931108719,595,412
10,0.333201770123191,597,412
11,0.3665219471355101,600,412
12,0.3998421241478292,603,412
13,0.4331623011601483,606,412
14,0.4664824781724674,609,412
15,0.4998026551847865,612,412
16,0.5331228321971057,614,412
17,0.5664430092094247,617,412
18,0.5997631862217438,620,412
19,0.6330833632340629,622,412
20,0.666403540246382,624,412
21,0.6997237172587011,627,412
22,0.7330438942710202,630,412
23,0.7663640712833393,632,412
24,0.7996842482956584,634,411
25,0.8330044253079775,636,410
26,0.8663246023202966,638,409
27,0.8996447793326157,639,407
28,0.9329649563449348,640,405
29,0.966285133357254,641,404
30,0.999605310369573,642,402
31,1.032925487381892,644,399
32,1.0662456643942113,645,397
33,1.0995658414065304,646,395
34,1.1328860184188494,647,392
35,1.1662061954311684,648,390
36,1.1995263724434877,650,387
37,1.2328465494558067,651,385
38,1.2661667264681258,652,383
39,1.2994869034804448,653,381
40,1.332807080492764,655,379
41,1.3661272575050831,656,377
42,1.3994474345174022,657,375
43,1.4327676115297214,659,372
44,1.4660877885420405,661,370
45,1.4994079655543595,662,369
46,1.5327281425666786,664,367
47,1.5660483195789978,667,365
48,1.5993684965913169,669,363
49,1.632688673603636,672,361
50,1.666008850615955,674,360
51,1.6993290276282742,677,359
52,1.7326492046405932,680,358
53,1.7659693816529123,682,357
54,1.7992895586652313,685,356
55,1.8326097356775506,687,355
56,1.8659299126898696,689,355
57,1.8992500897021887,692,354
58,1.932570266714508,695,354
59,1.965890443726827,698,354
60,1.999210620739146,701,354
61,2.0325307977514653,703,354
62,2.065850974763784,706,354
63,2.0991711517761034,709,354
64,2.1324913287884226,710,354
65,2.1658115058007414,712,354
66,2.1991316828130607,715,354
67,2.2324518598253795,718,354
68,2.265772036837699,723,354
69,2.299092213850018,728,351
70,2.332412390862337,731,349
71,2.365732567874656,733,347
72,2.3990527448869754,733,346
73,2.432372921899294,733,344
74,2.4656930989116135,733,342
75,2.4990132759239327,732,341
76,2.5323334529362516,731,339
77,2.565653629948571,730,338
78,2.5989738069608896,729,336
79,2.632293983973209,728,334
80,2.665614160985528,727,332
81,2.698934337997847,726,328
82,2.7322545150101663,725,325
83,2.7655746920224855,724,323
84,2.7988948690348043,724,321
85,2.8322150460471236,723,319
86,2.865535223059443,722,316
87,2.8988554000717617,721,313
88,2.932175577084081,721,311
89,2.9654957540963998,720,308
90,2.998815931108719,720,306
91,3.0321361081210383,720,303
92,3.065456285133357,719,300
93,3.0987764621456764,719,298
94,3.1320966391579956,719,296
95,3.1654168161703145,719,293
96,3.1987369931826337,719,290
97,3.232057170194953,719,288
98,3.265377347207272,719,285
99,3.298697524219591,719,282
100,3.33201770123191,719,280
101,3.365337878244229,720,276
102,3.3986580552565484,721,273
103,3.4319782322688672,722,269
104,3.4652984092811865,721,266
105,3.4986185862935058,720,264
106,3.5319387633058246,720,263
107,3.565258940318144,719,262
108,3.5985791173304627,718,261
109,3.631899294342782,716,260
110,3.665219471355101,715,259
111,3.69853964836742,713,258
112,3.7318598253797393,711,258
113,3.7651800023920585,708,257
114,3.7985001794043773,706,257
115,3.8318203564166966,704,256
116,3.865140533429016,703,255
117,3.8984607104413347,701,255
118,3.931780887453654,699,254
119,3.9651010644659728,697,253
120,3.998421241478292,696,253
121,4.031741418490611,693,252
122,4.065061595502931,691,251
123,4.09838177251525,688,250
124,4.131701949527568,685,249
125,4.1650221265398875,684,249
126,4.198342303552207,681,249
127,4.231662480564526,679,248
128,4.264982657576845,676,247
129,4.298302834589164,673,246
130,4.331623011601483,671,246
131,4.364943188613802,669,246
132,4.398263365626121,667,246
133,4.431583542638441,665,246
134,4.464903719650759,662,246
135,4.498223896663078,660,246
136,4.531544073675398,658,246
137,4.564864250687717,656,246
138,4.598184427700036,653,247
139,4.631504604712355,651,248
140,4.664824781724674,650,248
141,4.698144958736993,648,249
142,4.731465135749312,644,251
143,4.7647853127616315,642,251
144,4.798105489773951,639,254
145,4.831425666786269,637,257
146,4.864745843798588,634,256
147,4.898066020810908,632,255
148,4.931386197823227,629,252
149,4.964706374835546,627,249
150,4.9980265518478655,626,245
151,5.031346728860184,625,243
152,5.064666905872503,625,240
153,5.097987082884822,625,238
154,5.131307259897142,625,236
155,5.164627436909461,625,234
156,5.197947613921779,623,233
157,5.2312677909340985,621,233
158,5.264587967946418,618,233
159,5.297908144958737,615,234
160,5.331228321971056,613,234
161,5.364548498983376,611,235
162,5.397868675995694,608,238
163,5.431188853008013,606,240
164,5.4645090300203325,604,243
165,5.497829207032652,602,246
166,5.531149384044971,599,249
167,5.564469561057289,597,252
168,5.597789738069609,594,256
169,5.631109915081928,592,258
170,5.664430092094247,591,261
171,5.6977502691065665,589,264
172,5.731070446118886,588,266
173,5.764390623131204,587,268
174,5.797710800143523,586,270
175,5.831030977155843,585,273
176,5.864351154168162,585,274
177,5.897671331180481,584,276
178,5.9309915081927995,583,278
179,5.964311685205119,582,281
180,5.997631862217438,581,283
181,6.030952039229757,580,284
182,6.064272216242077,579,287
183,6.097592393254396,578,289
184,6.130912570266714,577,291
185,6.1642327472790335,577,293
186,6.197552924291353,576,294
187,6.230873101303672,575,296
188,6.264193278315991,574,299
189,6.29751345532831,573,301
190,6.330833632340629,573,303
191,6.364153809352948,572,306
192,6.397473986365267,572,307
193,6.430794163377587,571,309
194,6.464114340389906,571,312
195,6.497434517402224,571,313
196,6.530754694414544,571,315
197,6.564074871426863,571,317
198,6.597395048439182,570,319
199,6.630715225451501,570,321
200,6.66403540246382,569,322
201,6.697355579476139,568,324
202,6.730675756488458,565,327
203,6.7639959335007775,564,329
204,6.797316110513097,563,332
205,6.830636287525416,561,335
206,6.8639564645377344,560,338
207,6.897276641550054,559,340
208,6.930596818562373,558,342
209,6.963916995574692,557,344
210,6.9972371725870115,556,346
211,7.03055734959933,555,348
212,7.063877526611649,554,350
213,7.097197703623968,553,351
214,7.130517880636288,552,353
215,7.163838057648607,551,355
216,7.197158234660925,549,358
217,7.230478411673245,547,360
218,7.263798588685564,544,361
219,7.297118765697883,541,362
220,7.330438942710202,536,365
221,7.363759119722522,533,368
222,7.39707929673484,529,370
223,7.430399473747159,526,372
224,7.4637196507594785,523,374
225,7.497039827771798,520,375
226,7.530360004784117,517,377
227,7.563680181796435,514,379
228,7.597000358808755,510,381
229,7.630320535821074,507,382
230,7.663640712833393,505,383
231,7.6969608898457125,503,384
232,7.730281066858032,501,385
233,7.76360124387035,499,386
234,7.796921420882669,497,387
235,7.830241597894989,494,388
236,7.863561774907308,491,389
237,7.896881951919627,489,390
238,7.9302021289319455,485,391
239,7.963522305944265,483,392
240,7.996842482956584,480,393
241,8.030162659968903,478,394
242,8.063482836981223,476,395
243,8.096803013993542,474,396
244,8.130123191005861,472,397
245,8.16344336801818,470,398
246,8.1967635450305,469,398
247,8.230083722042817,467,399
248,8.263403899055136,464,401
249,8.296724076067456,462,402
250,8.330044253079775,460,403
251,8.363364430092094,459,404
252,8.396684607104413,457,405
253,8.430004784116733,455,405
254,8.463324961129052,452,406
255,8.496645138141371,449,407
256,8.52996531515369,448,408
257,8.563285492166008,446,408
258,8.596605669178327,444,408
259,8.629925846190647,442,409
260,8.663246023202966,441,409
261,8.696566200215285,438,409
262,8.729886377227604,435,410
263,8.763206554239924,431,410
264,8.796526731252243,427,410
265,8.829846908264562,424,410
266,8.863167085276881,420,410
267,8.8964872622892,417,410
